Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
Satyanweshi Byomkesh,2019,108 min,6.5,267,"crime, mystery, thriller",bengali
Mahan,1996,132 min,6.0,8,"drama, family",bengali
Takht-O-Taj,1970,,6.4,0,unknown,urdu
Kanthaswamy,2009,190 min,5.0,1567,"action, crime",tamil
Vishwa Thulasi,2004,,6.1,32,"drama, musical, romance",tamil
Saakshyam,2018,166 min,4.7,437,action,telugu
Circus Queen,1959,,6.4,0,action,hindi
"Haseena: Smart, Sexy, Dangerous",2006,,6.4,0,thriller,hindi
Seemana,1996,,8.9,8,"action, drama",nepali
Weather Report,2017,91 min,6.4,0,drama,marathi
Shutter,2012,133 min,7.7,1017,thriller,malayalam
Maithaanam,2011,125 min,5.9,7,"drama, family, mystery",tamil
Sons of Ram,2012,85 min,6.6,76,"animation, drama, musical",tamil
Duti Mon,2011,,6.4,0,drama,bengali
Swapna Lokam,1999,,6.4,0,romance,telugu
Pattalam,2003,159 min,5.1,316,"action, comedy, drama",malayalam
The Twelve Thousand,2020,28 min,6.4,0,"short, drama",nepali
Sukham Sukhakaram,1994,,6.4,0,unknown,malayalam
Santa,1961,,6.4,0,drama,telugu
Mullamottum Munthiricharum,2012,,4.3,14,drama,malayalam
Dillagi,1999,188 min,5.3,1068,"drama, musical, romance",hindi
Nesi,2009,,6.4,0,drama,tamil
Kaana Kanmani,2009,132 min,4.4,106,"drama, horror",malayalam
Bhagwaan Dada,1986,147 min,4.3,167,"drama, thriller",hindi
A 2nd Hand Lover,2015,135 min,6.4,0,romance,kannada
Sampoorna Sant Darshanam,1978,,6.4,0,drama,hindi
Avar Enakke Sontham,1977,66 min,6.4,0,unknown,tamil
Dharti ke God Mein,1971,,6.4,0,drama,hindi
Valar Pirai,1962,,6.4,0,unknown,tamil
Shaitaan: A Vision of Madness,2018,65 min,6.4,0,thriller,hindi
Haaru Hakkiyaneri,2010,,6.4,0,drama,kannada
Payal Ki Jhankar,1968,132 min,4.4,12,"action, adventure, comedy",hindi
Juniors,2003,,5.2,13,romance,telugu
Palkon Ki Chhaon Mein,1977,127 min,7.5,65,"drama, romance",hindi
Dil Ka Sathi Dil,1982,,6.7,18,romance,hindi
Mounamelanoyi,2002,154 min,6.7,16,romance,telugu
Punar Milan,1940,,6.4,0,"drama, romance",hindi
Let's Break Up,2020,,6.4,0,unknown,kannada
HIRER SHIKAL,1988,126 min,6.4,0,"drama, romance",bengali
Mohanlal,2018,150 min,4.5,507,comedy,malayalam
Dharti Ke Lal,1950,125 min,6.4,16,"drama, history",hindi
Golmaal Returns,2008,135 min,5.1,7115,"comedy, crime, mystery",hindi
The Journey Within,2015,78 min,7.0,35,"documentary, music",oriya
Janma Bhoomi,1995,,8.0,6,drama,nepali
Inspector Gullu,2018,124 min,6.8,32,action,hindi
Deiva Thirumagal,2011,166 min,8.1,4954,drama,tamil
Aaj Ka Inteqaam,1991,,6.4,0,thriller,hindi
Tuch Khari Gharchi Laxmi,2011,115 min,6.4,0,drama,marathi
Pataas,2015,127 min,6.7,758,"action, comedy",telugu
Ram,2022,,6.4,0,"action, crime, thriller",malayalam
Monagadu,1976,151 min,6.4,0,"crime, drama",telugu
Kala Dhanda Goray Log,1986,158 min,5.7,35,"drama, family",hindi
Vishwaguru,2017,,6.4,0,biography,malayalam
Talentime,2009,120 min,6.8,183,drama,tamil
Shah,2015,109 min,8.5,1392,"biography, drama, sport",urdu
Harsha Varsha Jayaraj,2020,,8.0,6,"short, comedy",malayalam
Yeh Kaise Hua,1984,,6.4,0,unknown,urdu
Adavukal Pathinettu,1978,,6.4,0,unknown,malayalam
Bhale Papa,1971,,6.4,0,unknown,telugu
Raakhi Ki Saugandh,1979,,6.4,0,"action, crime, drama",hindi
Khara Varasdar,1986,,6.4,0,drama,marathi
Lakhon Fasane,1961,,6.4,0,drama,urdu
Qissa: The Tale of a Lonely Ghost,2013,109 min,6.7,896,"drama, fantasy, horror",punjabi
Amma I Love You,2018,147 min,7.4,55,drama,kannada
Kahi Katai,2018,,6.4,0,family,nepali
Adhiktam,2020,45 min,6.4,0,"action, comedy",hindi
Oru Vasantha Geetham,1994,,4.7,9,unknown,tamil
Ishq Ishq,1977,,3.4,23,musical,urdu
Aata Hoti Geli Kuthe,1991,,6.4,0,comedy,marathi
123,2002,127 min,5.7,59,comedy,telugu
Saajan Ki Saheli,1981,,5.5,44,"family, drama",hindi
Chanakya,2019,147 min,5.4,492,"action, adventure, thriller",malayalam
Khaan Dost,1976,157 min,5.6,38,"action, crime, drama",hindi
Kalsandhya,1997,124 min,7.8,11,drama,assamese
Ippadikku En Kadhal,2007,115 min,6.4,0,drama,tamil
Chottanikkara Amma,1976,132 min,6.6,8,drama,malayalam
Sutradhaarulu,1990,,8.1,55,"drama, musical",telugu
Butter & Cheese,2014,13 min,6.4,0,"short, family",nepali
That Girl in Yellow Boots,2010,103 min,6.6,3574,"crime, drama, mystery",kannada
Aanamuttathe Aangalamar,2000,108 min,6.4,0,"comedy, drama",malayalam
Jhankar,1942,,6.4,0,unknown,hindi
Ira Thedunna Manushyar,1981,,6.4,0,unknown,malayalam
Aideu,2007,91 min,6.4,0,unknown,assamese
American Desi,2001,100 min,6.6,1583,"comedy, drama, romance",hindi
Chettayees,2012,,4.7,134,family,malayalam
Ambalakkara Panchayath,1988,,6.4,0,unknown,malayalam
Poila April,2021,,6.4,0,drama,bengali
Bachelor Husband,1950,,6.4,0,unknown,hindi
Oru Nadigai Natakam Pakiral,1978,131 min,6.2,12,unknown,tamil
Dunia Gol Hai,1974,,6.4,0,unknown,urdu
Chalta Purza,1958,,6.4,0,fantasy,hindi
Hichki,2018,116 min,7.5,10905,"comedy, drama",hindi
Lover Boy,1985,,4.1,19,"drama, romance",hindi
Babul,1986,162 min,4.8,9,drama,hindi
Babu,2020,26 min,6.4,0,"short, drama",nepali
Swabhimaan,2019,122 min,6.4,0,drama,gujarati
Meera,1947,120 min,7.7,14,unknown,hindi
Red Indians,2001,,4.7,15,unknown,malayalam
Navabharata,1988,,6.4,0,unknown,kannada
Tribhanga,2021,95 min,6.1,2406,"drama, family",hindi
Sri Bannari Amman,2002,149 min,6.4,0,drama,tamil
Apoorva Mahaan,2015,135 min,6.4,0,drama,tamil
Haidar Sultan,1982,,6.4,0,"action, drama",punjabi
3 Monkeys,2020,131 min,6.5,82,drama,telugu
Kaapalika,1973,131 min,7.8,5,unknown,malayalam
Karunamayi,1987,137 min,6.4,0,unknown,kannada
Phone Bhoot,2021,,6.4,0,"comedy, horror",hindi
Aag aur Angaray,1990,,6.4,0,action,hindi
Vachikava,2014,,6.4,0,drama,tamil
Krishna Arjun,2004,,6.4,0,action,hindi
Rahi,1953,139 min,6.9,27,drama,hindi
Chaukat Raja,1991,141 min,7.4,214,family,marathi
School Master,2010,143 min,6.4,0,drama,kannada
Halla Gulla,2015,,5.2,77,"action, comedy",urdu
Monopoly the Game of Money,2012,,6.4,0,thriller,hindi
Maga Maharaju,1983,,6.8,30,"comedy, drama, romance",telugu
Band Baaja Babuchak,2017,123 min,6.4,0,comedy,gujarati
Bebbuli Veta,1985,,6.4,0,unknown,telugu
Gita,2008,,6.4,0,drama,telugu
Kusruthi Kuruppu,1998,135 min,5.8,40,"comedy, drama",malayalam
Mr. and Mrs. Iyer,2002,120 min,7.9,4681,drama,tamil
Inth Ka Jawab Patthar,2002,,3.2,9,"musical, action",hindi
Nisithe,1963,,7.2,10,drama,bengali
Cabbie,2019,19 min,6.4,0,"short, horror",nepali
Advaitham,1991,181 min,7.0,275,"action, crime, drama",malayalam
Maruppacha,1982,,6.4,0,unknown,malayalam
Kachehari,1994,,6.4,14,action,punjabi
Fever,2009,,8.5,8,"short, fantasy",nepali
Kaashi Amarnath,2017,162 min,4.7,11,"action, drama, romance",bhojpuri
Afsana Dilwalon Ka,2001,195 min,3.6,1024,"drama, romance",urdu
Namukkore Aakasham,2015,115 min,6.4,0,drama,malayalam
Argentina Fans Kaattoorkadavu,2019,140 min,4.7,319,"drama, sport",malayalam
Mr. X,2015,133 min,3.8,1816,"action, drama, sci-fi",hindi
Nakhuda,1968,,6.4,0,unknown,urdu
Pakhandi,1984,138 min,6.5,26,drama,hindi
Ini Ethra Sandhyakal,1979,,6.4,0,unknown,malayalam
Bachchan,2013,145 min,6.6,926,"action, crime, thriller",kannada
Desi Kattey,2014,139 min,4.0,125,action,hindi
Vaddante Dabbu,1954,139 min,6.6,10,"comedy, drama",telugu
Nooran,1957,,6.4,0,romance,punjabi
Murderer,1935,,6.4,0,unknown,hindi
Tharangam,2017,153 min,6.3,478,"action, comedy",malayalam
Zunjar,2003,,6.4,0,unknown,marathi
Pyase Nain,1989,,6.4,0,drama,hindi
Anokha Chamatkar,1988,,6.4,0,drama,hindi
Vasudhaika 1957,2016,,6.4,0,horror,telugu
Insaan Aur Shaitan,1970,,5.1,14,action,hindi
Sapthagiri LLB,2017,138 min,7.2,56,"comedy, drama",telugu
Prem Vidrohi,2012,,6.4,0,action,bhojpuri
Manamantha,2016,164 min,7.7,840,drama,telugu
August 2,2012,,4.2,9,thriller,hindi
Ponge Ezhu Manohara,2015,,6.4,0,"comedy, drama",tamil
1:13:7 Ek Tera Saath,2016,120 min,5.7,57,horror,hindi
Diyar Bhojai,1980,,6.4,0,romance,gujarati
Sair-E-Paristan,1958,,6.4,0,fantasy,hindi
Lalkare Sheran De,1994,117 min,6.4,0,action,punjabi
Azad Champion,1968,,6.4,0,action,hindi
Thazampoo,1965,,6.8,6,unknown,tamil
Haseena 420,1988,,6.2,5,unknown,urdu
Record,2019,81 min,6.4,0,horror,urdu
Raogari Illu,1988,,6.4,0,"comedy, drama",telugu
Proud to Be a Sikh,2014,92 min,7.2,20,drama,punjabi
Paranju Theeratha Visheshangal,2007,,6.3,6,unknown,malayalam
Banna Bannada Baduku,2017,,6.4,0,drama,kannada
Aickarakkonathe Bhishaguaranmaar,2018,144 min,7.8,239,drama,malayalam
Laxmi,1957,118 min,6.4,0,"drama, family",hindi
Patukunte Padivelu,1967,145 min,6.4,0,drama,telugu
Radha Ghelo Kan,1991,,6.4,0,drama,gujarati
"U, Bomsi N Me",2005,,7.4,13,comedy,hindi
Les Larmes Noires,2015,127 min,6.4,0,documentary,urdu
Baeelveda,1979,,6.4,0,unknown,marathi
Balakot: the true story,2020,,6.4,0,action,hindi
Maan Marjada,1991,137 min,6.4,0,drama,bengali
Hera Pheri,2000,156 min,8.2,58037,"action, comedy, crime",hindi
Raagangal Maruvathillai,1983,,7.2,5,unknown,tamil
Putra Badhu,1998,,6.4,0,drama,bengali
Naik Parveen,1975,,6.4,0,unknown,urdu
Gollu Aur Pappu,2014,112 min,3.7,101,comedy,hindi
Heer Maan Ja,2019,146 min,5.2,187,"action, comedy, family",punjabi
