Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
Vilakkapetta Kani,1974,,6.4,0,unknown,malayalam
Thalolam,1998,,5.3,16,unknown,malayalam
Ajay,1996,146 min,3.7,184,"action, drama, romance",hindi
Chakravarthy,2017,156 min,7.3,858,"action, crime",kannada
Mardaani 2,2019,103 min,7.4,7902,"action, crime, drama",hindi
Riktha,2016,111 min,6.4,0,"comedy, drama, horror",kannada
Jaatiwad,2015,,6.4,0,drama,hindi
Sanam Bewafa,1991,160 min,5.3,1052,"drama, romance",hindi
The Black Prince,2017,118 min,6.6,907,"drama, history",punjabi
Swami Ayyappan,2012,90 min,7.5,34,"animation, action, adventure",telugu
Veerappan,2016,125 min,5.3,699,"action, biography, crime",hindi
Kaise Kahoon,1945,,6.4,0,unknown,hindi
Do Chehre,2015,120 min,5.3,20,action,hindi
Lahu Pukarega,1968,,6.4,0,drama,hindi
Gayatri,2017,122 min,6.4,0,drama,kannada
Shasti,1970,,6.4,0,drama,bengali
Krodh,2000,141 min,4.4,208,"action, comedy, drama",hindi
Andarkahini: Self-exile,2019,91 min,8.1,49,drama,bengali
Iftar,2015,10 min,6.4,0,"short, drama, family",urdu
Husn De Hulare,1987,,6.4,0,romance,punjabi
Aviyal,2016,118 min,6.2,150,"comedy, drama",tamil
Enakku Onnu Therinjaakanum,2020,,6.4,0,drama,tamil
Pativrata,1964,,6.4,0,unknown,telugu
Ennu Nathante Nimmi,1986,,6.4,0,unknown,malayalam
Mattoru Kadavil Kuliscene 2,2020,20 min,6.4,0,short,malayalam
Aatpadi Nights,2019,135 min,7.1,8,comedy,marathi
Mardangi,2005,,6.4,0,action,hindi
Kakkothi Kaavile Appoppan Thaadikal,1988,99 min,7.2,101,drama,malayalam
Gandhi Smiles,2012,,6.4,0,drama,kannada
Ezhuthata Sattaangal,1984,,6.4,0,unknown,tamil
Pandrikku Nadri Solli,2020,107 min,6.4,0,"comedy, drama, thriller",tamil
Shiva Shankar,2004,125 min,4.5,384,"drama, family",telugu
Seshadri Naidu,2004,,6.4,0,action,telugu
YeRe YeRe Pavsa,2020,,6.4,0,drama,marathi
Rum Pum Posshh,2020,,6.4,0,thriller,hindi
Thirumathi Pazhanichami,1992,,5.2,6,unknown,tamil
Anokhi Ada,1948,141 min,6.4,26,"drama, musical, romance",urdu
Unremembered,2013,20 min,6.4,0,"short, mystery",urdu
Ratham,2018,132 min,5.8,20,"comedy, drama, romance",telugu
Pari Hoon Main: I'm a Fairy,2018,110 min,7.8,8,"drama, family",marathi
Kovalanin Kadhali,2014,110 min,6.4,0,drama,tamil
Virgin.. Mira,2010,90 min,6.4,0,drama,hindi
Pranoy Pasha,1978,130 min,7.6,12,drama,bengali
Prem Ki Padhai,2020,,6.4,0,drama,bhojpuri
Inaam Dus Hazaar,1987,,6.0,140,"action, thriller",hindi
Mahananda,1947,,6.4,0,unknown,kannada
Achhut Kanya,1936,142 min,6.5,111,"drama, musical, romance",urdu
Khayal Gatha,1989,103 min,6.5,33,"drama, music",hindi
Gurudakshina,1950,,6.4,0,unknown,hindi
Nalugu Sthambalata,1982,,7.6,32,"drama, family",telugu
Dhokebaaz,1946,,6.4,0,comedy,hindi
Wilson Periera,2010,,6.2,13,"animation, short, mystery",malayalam
Nai Roshni,1941,,6.4,0,unknown,hindi
Premat Sarech Kahi Maaf,2007,125 min,6.4,0,comedy,marathi
Porattam,2017,,6.4,0,crime,malayalam
Maan Abhiman,1980,113 min,5.4,15,"drama, family",hindi
100 Percent Love Aata,2018,,6.4,0,unknown,telugu
Megh Kalo,1970,130 min,7.2,11,drama,bengali
Mehndi Rang Layegi,1982,,5.5,17,"drama, family",hindi
Double Decker,2011,,6.4,0,drama,kannada
Betabiyan,2019,120 min,6.3,10,"musical, romance",oriya
Kadamai Kanniyam Kattupaadu,1987,,7.7,61,"crime, drama",tamil
Dharm,2007,105 min,8.0,1019,"drama, history",hindi
Bandkhor,2007,95 min,6.4,0,drama,marathi
Maya Mahal,1963,,6.4,0,unknown,hindi
Love Today,2004,,7.7,76,"drama, romance",telugu
Sattam Oru Iruttarai,2012,120 min,6.4,0,drama,tamil
Desadrohi,2010,,6.2,6,action,telugu
Heerer Prajapati,1968,,6.4,0,drama,bengali
Khel,2003,174 min,4.0,464,"action, crime, drama",hindi
Phoolwari,1946,,6.4,0,unknown,hindi
Moosa Khan,2001,,4.8,76,drama,urdu
Miss Tanakpur Haazir Ho,2015,154 min,5.4,319,"comedy, crime, family",hindi
Aunty uncle nandagopal,2010,143 min,6.4,0,drama,telugu
Guppy,2016,158 min,8.1,1784,"comedy, drama",malayalam
Banna Bannada Loka,2011,,6.4,0,drama,kannada
Jolly LLB,2013,135 min,7.5,18069,"comedy, drama",hindi
Avunu Valliddaru Ishtapaddaru,2002,150 min,6.6,209,"comedy, romance, drama",telugu
Batoor: A Refugee Journey,2017,80 min,6.4,0,"documentary, biography",urdu
Ladaai Ke Baad,1943,,6.4,0,comedy,hindi
Malaikottai,2007,144 min,5.6,72,action,telugu
Jawani Phir Nahi Ani 2,2018,165 min,7.5,1393,comedy,oriya
Ival Eevazhi Ithu Vare,1980,,6.4,0,unknown,malayalam
Ek Kassh,2018,52 min,6.4,0,"drama, sci-fi",hindi
Hanuman Pathal Vijayam,1960,,6.4,0,fantasy,hindi
Raas Leela,2003,,6.4,0,thriller,hindi
Swathi Muthyam,1986,160 min,8.3,720,"drama, family, romance",telugu
Bullet,2008,,3.2,20,action,malayalam
Ashar Alo,1982,,6.4,0,drama,bengali
Ninne Pelladatha,1996,146 min,7.6,648,"romance, comedy, drama",telugu
Musical Chair,2020,134 min,7.5,48,drama,malayalam
Indru,2003,146 min,6.4,0,drama,tamil
Zabak,1962,,5.9,16,"action, adventure, comedy",urdu
Khalnayok,1996,,5.4,7,action,bengali
Ek Aasman Kai Dishayen,1987,,6.6,16,action,hindi
Mecheri Vana Bhathrakali,2017,121 min,6.4,0,unknown,tamil
Taxi No. 9 2 11: Nau Do Gyarah,2006,116 min,7.2,9230,"comedy, drama, thriller",hindi
Veendum,1986,115 min,7.3,35,"crime, thriller",malayalam
M/S Big Boss,1995,,6.4,0,unknown,malayalam
Sabhash Pappana,1972,125 min,6.4,0,drama,telugu
Jhumka,2007,75 min,6.4,0,romance,assamese
Meri Awaz,1990,,6.4,0,unknown,urdu
Meri Biwi Ka Jawab Nahin,2004,150 min,3.9,669,"action, comedy, romance",hindi
Bhalo Meye Mando Meye,2011,,8.0,9,family,bengali
Chaalis Chauraasi,2012,120 min,6.1,473,"comedy, crime",hindi
Kargil,2018,103 min,7.1,67,"drama, romance",tamil
Simran,2017,124 min,5.1,3197,"crime, drama, thriller",hindi
Thulam,2018,140 min,6.4,0,romance,tamil
Kallu Kondoru Pennu,1998,,5.0,41,"action, crime, musical",malayalam
Thun Thun Gopal,2017,152 min,6.4,0,drama,gujarati
Aao Khelein Gilli Danda,2021,,6.4,0,drama,hindi
Kyaa Super Kool Hain Hum,2012,136 min,4.9,3718,comedy,hindi
Neenade Naa,2014,145 min,5.9,8,drama,kannada
Mahishasura Mardini,1959,167 min,8.4,20,unknown,hindi
Inspector Vikram,2021,159 min,5.6,218,"action, comedy, crime",kannada
Hum Tumko Dekh Lenge,1981,,6.4,0,drama,hindi
Kappayum Meenum,2021,6 min,6.4,0,"short, romance",malayalam
Unnai Ninaithu,2002,163 min,6.9,429,drama,tamil
Arun Barun Kironmala,1968,,6.4,0,fantasy,bengali
Oru CBI Diary Kurippu,1988,137 min,8.2,2713,"mystery, thriller",malayalam
Banarasi,1962,70 min,6.4,0,drama,bengali
Paithrukam,1993,130 min,7.4,263,drama,malayalam
Hasiru Ribbon,2018,,6.4,0,drama,kannada
Akramana,1979,,6.9,9,unknown,kannada
Mark..!,2020,114 min,6.4,0,thriller,telugu
Sathyavaan Savithiri,1933,,6.4,0,unknown,tamil
Moonnu Masangalkku Munpu,1986,135 min,6.8,19,"crime, drama, mystery",malayalam
Akkaldhamayile Pennu,2015,110 min,5.7,9,drama,malayalam
City of Dark,2016,85 min,6.4,0,drama,hindi
Ebhabei Golpo Hok,2020,116 min,6.4,0,drama,bengali
Tari Muskurahat,2019,165 min,6.4,0,romance,gujarati
Reshmigathi,1988,,6.4,0,drama,marathi
Laavan Phere,2018,124 min,5.4,182,comedy,punjabi
Tishnagi,2018,136 min,3.9,26,"romance, thriller",hindi
Rasika,1994,116 min,6.4,0,romance,kannada
Toofani Taruni,1934,,6.4,0,unknown,hindi
Taxiwala,2018,137 min,7.0,2866,"comedy, horror, thriller",telugu
Naya Chand,2013,110 min,6.4,0,"family, fantasy, romance",hindi
Tennis Buddies,2019,153 min,5.1,39,drama,hindi
Brahma Janen Gopon Kommoti,2020,127 min,7.6,257,drama,bengali
Chik Mik Bijuli,1969,,6.4,0,unknown,assamese
Vachan(rajasthani),2020,120 min,6.4,0,action,rajastani
Shiv Shakti,1952,,6.4,0,fantasy,hindi
Money Money,1995,152 min,6.9,141,"action, comedy, drama",telugu
Soon Mazi Savitri,1974,,6.4,0,family,marathi
Idavela,1982,,6.7,23,unknown,malayalam
Tahaan,2007,,6.4,0,drama,marathi
Kaattu Kallan,1981,100 min,6.4,0,unknown,malayalam
Njan Steve Lopez,2014,117 min,7.4,385,"drama, romance, thriller",malayalam
Sati Sakkubai,1954,,6.4,0,"musical, drama",telugu
Ujali Meraman,1986,,6.4,0,unknown,gujarati
Vyjayanthi,2018,143 min,6.4,0,drama,telugu
Enga Veetu Pillai,1965,147 min,7.1,147,"action, comedy, drama",telugu
Josh-E-Jawaani,2001,,4.6,8,romance,hindi
The Churning of Kalki,2015,79 min,8.0,8,drama,bengali
Raaz,1981,132 min,5.2,19,"crime, mystery, thriller",hindi
Dharma Vijaya,1959,,8.1,11,unknown,kannada
Yaar Ivargal,2018,,6.4,0,drama,tamil
Shararey,1955,,6.4,0,unknown,urdu
Singaporenalli Raja Kulla,1978,143 min,7.7,24,unknown,kannada
Amar Rahe Ye Pyar,1961,121 min,6.5,14,drama,urdu
Naan Kudithukonde Iruppen,1982,,6.4,0,drama,tamil
Jeene Do,1990,125 min,4.7,46,"action, drama",hindi
Kevvu Keka,2013,125 min,5.2,110,comedy,telugu
Pardesi,1993,,5.1,18,action,hindi
Extraordinaari,2015,144 min,3.4,9,"drama, family, fantasy",hindi
Soohagan Bana De Sajana Hamaar,2010,,6.4,0,family,bhojpuri
Marmabani,1958,,6.4,0,drama,bengali
Special Class,2014,,6.4,0,drama,telugu
Yeh Hai Chakkad Bakkad Bumbe Bo,2003,90 min,7.2,8,adventure,hindi
Chiranjeevi,1985,,7.6,36,"crime, family, drama",telugu
Chhadmabeshi,1944,,6.4,0,drama,bengali
Bakri Chor,2021,,6.4,0,"short, comedy",rajastani
Patnavaasam,1978,,6.4,0,drama,telugu
Mana Manthana,2017,122 min,6.4,0,drama,kannada
Aasra Pyaar Da,1983,150 min,7.4,36,drama,punjabi
Keemat,1946,,6.4,0,unknown,hindi
Mangal Deep,1989,146 min,8.1,18,drama,bengali
Debshishu,1987,100 min,7.5,22,drama,hindi
Thakkol Pazhuthu,2020,119 min,6.2,8,"crime, mystery, thriller",malayalam
Til Til Daa Lekha,1979,,7.0,7,unknown,punjabi
Bahu Begum,1967,167 min,6.4,67,"comedy, drama, romance",hindi
Tumse Achha Kaun Hai,1969,108 min,6.5,80,"comedy, drama, romance",hindi
Badam Rani Gulam Chor,2012,125 min,7.5,19,mystery,marathi
Nenu Local,2017,150 min,6.4,1942,"action, comedy, romance",telugu
Tabaahi: The Destroyer,1999,133 min,4.6,20,action,hindi
Nanna Prakara,2019,115 min,6.4,227,"crime, mystery",kannada
Mali,1944,,6.4,0,unknown,hindi
Bourani,1991,146 min,6.6,15,drama,bengali
Ankh Ka Tara,1978,,6.4,0,"drama, family",hindi
Odahuttidavalu,2006,154 min,6.4,0,drama,kannada
En Aasai Rasave,1998,138 min,5.5,22,drama,tamil
Neel Swapno,2013,106 min,6.4,0,drama,bengali
Man ko bandh,1973,,8.6,8,drama,nepali
Ghulam,1953,,6.4,0,unknown,urdu
Desam,2002,112 min,6.4,0,unknown,malayalam
Angamaly Diaries,2017,132 min,8.0,5076,"action, comedy, thriller",malayalam
Alibaba,1967,,6.4,0,drama,bengali
Eetti,2015,145 min,6.3,501,action,tamil
Onnanam Kunnil Oradi Kunnil,1985,140 min,6.3,39,"comedy, drama, romance",malayalam
Itha Oru Manushyan,1978,130 min,6.4,0,drama,malayalam
Ritu,2014,129 min,6.7,24,"drama, romance",nepali
Juram Te Insaf,1981,,6.4,0,"action, drama",punjabi
Jaffa,2013,160 min,4.9,61,comedy,telugu
Bhuloka Rambha,1958,,6.4,0,unknown,telugu
Shesh Naag,1957,,6.4,0,unknown,hindi
Guthlee,2021,,6.4,0,drama,hindi
Punyastree,1986,131 min,6.4,0,drama,telugu
Firangi,2017,158 min,4.4,1064,"comedy, drama",hindi
Khatarnak,1974,,6.4,0,"action, drama",punjabi
Dombivli Fast,2005,108 min,8.0,937,"drama, thriller",marathi
Gauhar,1953,,6.4,0,family,hindi
The Angrez,2005,110 min,7.4,417,comedy,hindi
Agni,2004,15 min,6.4,0,short,malayalam
Kal Subah,1978,,6.4,0,romance,hindi
Rahasya Hanthakudu,1985,,6.4,0,unknown,telugu
Tansen,1958,,6.4,0,drama,bengali
Pokkiri Simon: Oru Kadutha Aaradhakan,2017,140 min,4.8,268,comedy,malayalam
Sneha Yamuna,1977,,6.4,0,unknown,malayalam
Faulad,1963,145 min,6.0,18,"action, adventure, drama",hindi
Rowdy Ramudu Kinte Krishnudu,1980,,6.0,11,unknown,telugu
Ponnurukkum Pakshi,1992,,4.0,5,unknown,malayalam
Belakinedege,2013,,6.4,0,drama,kannada
Bakhshish,1950,,6.4,0,unknown,hindi
Baro Baro Geleya,2019,116 min,6.4,0,horror,kannada
Tohare Me Basela Pran,2017,122 min,6.4,0,drama,bhojpuri
Tutak Tutak Tutiya,2016,138 min,5.5,730,"comedy, horror",hindi
Purabi,1948,,6.4,0,unknown,bengali
Shukriya,1944,,6.4,0,unknown,hindi
3 Days 4 Nights in Bihar,2020,,6.4,0,comedy,hindi
Yeh Duniya,1960,,6.4,0,unknown,urdu
Rama Lakshmanulu,1981,135 min,6.4,0,drama,telugu
Katha,2009,,6.5,67,drama,telugu
Runamukthalu,1984,,7.2,12,unknown,kannada
Maalamaal,1988,139 min,7.0,363,comedy,hindi
Chhalawa,2019,117 min,3.5,461,"comedy, drama, family",urdu
Aby,2017,133 min,6.0,433,"comedy, drama",malayalam
Manjari Opera,1970,120 min,7.5,6,drama,bengali
Saat Rang Ke Sapne,1998,171 min,5.9,94,"drama, romance",hindi
Glamour,2010,127 min,6.4,0,drama,telugu
Flashback,2021,,6.4,0,drama,tamil
Saayad,2012,127 min,7.0,21,drama,nepali
Punj Khaab,2019,,6.4,0,drama,punjabi
Naga Kanye,1975,128 min,6.4,0,unknown,kannada
Inthi Nimma Bhaira,2019,138 min,6.4,0,drama,kannada
Farz Ki Keemat,1983,,6.4,0,action,hindi
Katamarayudu,2017,146 min,5.7,2068,"action, comedy",telugu
Khooni Maut,1987,,6.4,0,horror,hindi
UPKAR DUDHACHE,1991,151 min,6.4,0,drama,marathi
Badla Nagin Ka,1987,,6.4,0,fantasy,hindi
Dil Kya Karay,2019,,8.9,16,"drama, family, romance",oriya
Bulbule Paristan,1934,,6.4,0,unknown,hindi
Kadhale Jeyam,2002,134 min,6.4,0,drama,tamil
C U at 9,2005,95 min,4.1,65,"drama, horror, mystery",hindi
Chanakya,1946,,6.4,0,drama,hindi
Deeksha,1974,132 min,6.4,0,drama,telugu
Schatten der Zeit,2004,122 min,7.7,1075,"drama, romance",bengali
Kaun Sachcha Kaun Jhootha,1997,130 min,5.9,96,"drama, mystery, thriller",hindi
Kaakki Sattai,1985,143 min,7.0,257,"action, comedy, drama",telugu
Varnyathil Aashanka,2017,137 min,6.7,602,comedy,malayalam
Mr. India,1961,179 min,6.8,32,"comedy, crime, drama",hindi
Director,1947,,6.4,0,"drama, family",hindi
Geetam,1986,148 min,6.4,15,drama,malayalam
Bijuka,2012,74 min,6.4,22,drama,hindi
Main Nagin Tu Nagina,2011,,5.6,5,"action, drama, romance",bhojpuri
Quality Education Resource,2005,13 min,6.4,0,"documentary, short",nepali
Kathbirali,2019,115 min,7.6,437,"drama, thriller",bengali
Jodi Sendhachhu,1992,,6.4,0,drama,tamil
Lalijo Lalijo,2018,,6.4,0,thriller,telugu
Edeyuru Siddhalingeshwara,1981,,6.4,0,unknown,kannada
Parbat,1952,,6.4,0,"action, drama",hindi
Paapi Chirayu,2019,,6.4,0,drama,kannada
Tukkaa Fitt,2018,,6.5,13,drama,hindi
Namak Haraam,1973,146 min,7.3,1542,drama,hindi
Bobo,2016,9 min,6.9,29,"short, drama, horror",urdu
Yugapurushan,2010,153 min,7.3,69,drama,malayalam
Bigil,2019,179 min,6.7,13406,"action, drama, sport",tamil
Pariyerum Perumal,2018,154 min,8.7,9609,drama,tamil
Bhoomiyil Chuvadurachu,2016,175 min,6.4,0,documentary,malayalam
Prakruthiyile Adbhudangal,1986,,6.4,0,musical,malayalam
Mere Sapno Ki Rani,1997,,4.4,54,"drama, musical, romance",hindi
Hare Ram,2008,134 min,6.5,121,"action, thriller",telugu
Cheenti Cheenti Bang Bang,2008,,4.4,16,"animation, family",hindi
Khurchi Samrat,2010,129 min,6.4,0,comedy,marathi
Kamasutra 3D,2013,110 min,6.3,495,"drama, romance",hindi
Tari Mari Vato,2021,,6.4,0,romance,gujarati
Naanayam,2010,136 min,6.6,135,"crime, mystery, thriller",tamil
Preethi Nee Shashwathana,2010,,6.4,0,drama,kannada
Intinti Katha,1974,,6.4,0,unknown,telugu
Mehsampur,2018,99 min,6.6,39,drama,punjabi
Madhu,2006,138 min,3.6,5,romance,tamil
A1 Express,2021,138 min,6.8,286,drama,telugu
Nenunnanu,2004,,5.3,232,action,hindi
Hope through Nobility,2019,,6.4,0,"documentary, short",nepali
Shikar,2001,,6.4,0,action,hindi
Singari,1951,,6.4,0,unknown,tamil
Dil Se Pooch... Kidhar Jaana Hai,2006,,6.7,14,drama,hindi
Firebrand,2019,116 min,5.2,247,drama,marathi
Ina,1982,128 min,5.9,37,"drama, romance",malayalam
Mriter Marte Agaman,1959,118 min,6.8,9,"comedy, drama",bengali
Carry On Deshpande,2015,,6.4,0,comedy,marathi
Bhoomika,2020,120 min,6.4,0,drama,kannada
Manjupoloru Penkutti,2004,,5.1,93,"comedy, drama, romance",malayalam
The Real Wife,2016,,6.4,0,romance,hindi
Sultan E Hind: Gharib Nawaz,1979,,6.4,0,drama,hindi
Ashanti,1982,,5.8,106,"action, adventure, crime",hindi
Kanchana Seeta,1988,,6.4,0,unknown,telugu
"Iti, Tomari Dhaka",2018,134 min,6.9,546,drama,bengali
Sauda,1974,,6.4,0,"crime, drama",hindi
Sabdhan Sontrasi,2006,,6.4,0,drama,bengali
Jawani Phir Nahi Ani,2015,156 min,7.5,2965,"adventure, comedy, musical",oriya
Devaa: The Power Man,1995,,6.4,0,action,hindi
Manippoor Maamiyaar,1980,,6.4,0,unknown,tamil
Layanam,1989,,6.6,55,romance,malayalam
Aape Pein Siyappe,2021,104 min,6.4,0,comedy,punjabi
Nalla Thanka,1950,165 min,6.6,7,unknown,malayalam
Jatakam,1953,,6.4,0,"comedy, drama",telugu
Theerpu,1975,,6.4,0,drama,telugu
Kodiveeran,2017,155 min,4.8,125,"action, drama",tamil
Chowkada Deepa,1969,151 min,6.4,0,unknown,kannada
Dillagi,1992,,6.4,0,musical,punjabi
Arayannegalude Veedu,2000,,7.0,210,drama,malayalam
Mangalavara Rajaadina,2021,110 min,8.0,61,drama,kannada
T.P. Balagopalan M.A.,1986,126 min,7.7,634,"drama, comedy",malayalam
Vidhi Na Lekh,1969,,6.4,0,drama,gujarati
India Gate,2002,125 min,7.5,35,family,malayalam
Gandharvagiri,1983,128 min,6.4,0,unknown,kannada
Pandit Mashai,1951,,6.4,0,drama,bengali
Anokhi Sewa,1949,,6.4,0,unknown,hindi
Howrah Express,1961,,6.4,0,thriller,hindi
Murder 2,2011,127 min,6.2,6561,"action, crime, drama",hindi
Dampati,1976,115 min,6.4,0,drama,bengali
Navarathri,1964,164 min,7.7,96,drama,tamil
Udatha Udatha Ooch,2010,,6.4,0,comedy,telugu
Billu Badmash,1991,,6.4,0,unknown,punjabi
Devaleelai,2010,,6.4,0,drama,tamil
Perunali,2019,127 min,6.4,0,drama,tamil
Wrong Number,2019,,6.4,0,drama,bengali
Melvilasom,2011,105 min,7.7,397,"drama, thriller",malayalam
Kayyethum Doorathu,1987,,6.3,18,unknown,malayalam
Ellam Sheriyakum,2021,,6.4,0,drama,malayalam
Cancer aur Gupt Rog,1981,,6.4,0,drama,hindi
Thazhvaram,1990,130 min,8.1,615,"crime, drama, musical",malayalam
Mera Inteqaam,2000,,6.4,0,action,hindi
Ek Ladki,2004,,6.4,0,romance,hindi
Subhadra,1952,,6.4,0,drama,bengali
Bhutio Mahal,1932,,6.4,0,unknown,hindi
Sathuran,2015,158 min,6.7,36,thriller,tamil
Ellaam Ninakku Vendi,1981,,6.4,0,unknown,malayalam
Bhagya Jyothi,1975,,8.8,6,unknown,kannada
Sooriyan,1992,152 min,7.7,6,drama,tamil
Jeena Hai Toh Thok Daal,2012,123 min,5.5,31,"action, crime, drama",hindi
Meera,1945,136 min,7.3,30,unknown,tamil
Niram Maaratha Pookkal,1979,,6.8,20,unknown,tamil
Kaksparsh,2012,140 min,7.9,761,"drama, family, history",marathi
Vish Kanya,1943,,6.4,0,"drama, fantasy, history",hindi
Kram,2012,,6.4,0,thriller,hindi
Chella Pilli,2013,,6.4,0,"comedy, romance",kannada
LoveShhuda,2016,133 min,4.4,548,"comedy, romance",hindi
Hamaara Sansaar,1978,128 min,6.7,10,drama,hindi
Oozham,1988,,6.4,0,unknown,malayalam
Dark Chocolate,2016,92 min,4.2,212,"crime, thriller",bengali
Sathyam Sundaram,1981,139 min,6.4,0,musical,tamil
Nondito Noroke,2006,,7.9,157,"drama, family",bengali
Badhu Bharan,1967,,6.4,0,drama,bengali
Prem Yudh,1985,,6.4,0,romance,hindi
Kalthoon,1981,,6.4,0,unknown,tamil
MAHISHASUR BADH,1952,94 min,6.4,0,drama,bengali
Dev,1998,,6.4,0,drama,rajastani
Mahima Kashi Vishwanath Ki,2003,,6.4,0,drama,hindi
Malapilla,1938,175 min,8.3,44,drama,telugu
Vakkeel Vasudev,1993,,5.6,29,unknown,malayalam
Autograph Please,2006,122 min,7.1,12,comedy,kannada
Young India,2010,163 min,6.4,0,action,telugu
Student Visa,2018,,6.4,0,"short, drama",malayalam
Om Sharanam Ayyappa,2015,,6.4,0,drama,kannada
Niyogam,1997,,6.4,0,unknown,malayalam
Dynamite,1938,,6.4,0,unknown,hindi
Akhand Pratigya,1994,,6.4,0,action,hindi
Vallidhari Vayasu Padaharelle!,2004,,6.4,0,romance,telugu
Dabukku Thha Dongala Muttha,1971,126 min,6.4,0,unknown,telugu
Shakakarta Shivaji,1934,,6.4,0,unknown,marathi
Divine Temple Khajuraho,2002,,4.7,7,history,hindi
Oorellam Un Paattu,1991,135 min,4.4,5,"drama, music",tamil
Kumbakonam Gopalu,1998,,5.1,25,drama,tamil
Bhagwan... tera Bhala ho!,2012,108 min,6.4,0,"comedy, drama",hindi
Suddha,2005,105 min,7.8,12,drama,tulu
Srinilayam,2015,,6.4,0,thriller,telugu
Mareyalaare,2016,122 min,6.4,0,drama,kannada
Ganga Kaveri,2008,,6.4,0,drama,kannada
Bapi Bari Jaa,2012,118 min,6.4,331,comedy,bengali
Prehistoric,2016,21 min,8.0,7,"short, adventure",malayalam
Chahat,1971,,5.8,10,"drama, romance",hindi
Raja Returns,2018,,6.4,0,"comedy, romance",assamese
Girivalam,2005,136 min,6.4,0,"drama, musical, romance",tamil
Raja Ranguski,2018,120 min,6.5,286,mystery,tamil
Payanam,2011,115 min,7.3,706,"action, crime",tamil
Thirupathi Express,2014,125 min,5.8,46,"comedy, drama, romance",kannada
Puthra Kamekhi,1972,,6.4,0,unknown,malayalam
Veer Savarkar,2001,165 min,7.0,106,"biography, drama",hindi
Kairaasikkaran,1984,,6.4,0,unknown,tamil
Sangeetha Sagara Ganayogi Panchakshara Gavai,1995,,6.4,0,biography,kannada
Main Hoon Khalnayak,2020,,6.4,0,action,hindi
Soltini,2005,,6.4,0,"action, romance",nepali
Machaan,2021,,8.9,80,"drama, romance",hindi
Big Boss,1995,153 min,4.6,108,"action, drama",telugu
Gopura Deepam,1997,168 min,6.4,0,drama,tamil
Jeena Nahin Bin Tere,1995,,6.7,9,romance,hindi
Ratna Manjari,1955,,6.4,0,unknown,hindi
Rodham,2017,,6.4,0,"short, drama",malayalam
Daddy Cool,2009,,5.0,426,drama,malayalam
Chalthe Chalthe,2018,135 min,6.4,15,"action, comedy, drama",telugu
Vavval Pasanga,2012,,6.4,0,action,tamil
Family: Ties of Blood,2006,150 min,5.6,1852,"action, crime, drama",hindi
Rishtey,2002,164 min,4.6,909,"action, drama",hindi
Sawa Ser Gehu,1995,,6.4,0,drama,hindi
Kaif-E-Baharan,2018,,6.4,0,"drama, family",urdu
Irumbu manithan,2020,133 min,5.8,30,drama,tamil
Maha Shaktishaali,1994,,5.9,14,"action, drama, thriller",hindi
Chintu Ka Birthday,2020,80 min,7.8,3912,"drama, war",hindi
Ilakkana Pizhai,2010,,6.4,0,drama,tamil
Prachanda Ravana,2008,,6.4,0,drama,kannada
Hoshiar,1990,,6.4,0,unknown,punjabi
Mohra,1994,177 min,7.0,7540,"action, drama, thriller",hindi
Karutha Joothan,2017,120 min,7.8,14,drama,malayalam
Badhu Bideshini,1980,,6.4,0,drama,bengali
Ghayaal,1993,157 min,6.2,8,"comedy, drama, romance",marathi
Meharbaan,2005,,6.4,0,drama,hindi
Faactory,2020,,6.4,0,"romance, thriller",hindi
Ziddi Khan,1985,,6.4,0,unknown,punjabi
Pratibandh,1990,159 min,6.0,126,"action, drama",hindi
Taru,1984,,6.4,0,animation,hindi
You Are My Sunday,2016,119 min,7.8,1316,"comedy, drama",hindi
Thaazhamboo,2003,,6.4,0,comedy,malayalam
Namasthe Madam,2014,134 min,6.3,6,"comedy, drama, romance",kannada
Shivamani,2003,143 min,6.3,365,"action, romance",telugu
Nyayaniki Siksha,1988,,6.4,0,unknown,telugu
Nicotine,2019,,6.4,0,drama,kannada
Bach Kay Rehna,2017,,6.4,0,unknown,urdu
Meet Mere Man Ke,1991,150 min,5.7,12,"action, drama",gujarati
Noorpur Ki Rani,2009,,7.6,11,"comedy, drama, mystery",urdu
Dosti Ki Saugandh,1993,,3.8,5,"action, drama",hindi
Dum Asel Tar,2012,,6.4,0,"action, drama",marathi
Mar Jawan Gur Khake,2010,126 min,6.0,7,comedy,punjabi
Colour photo,2018,,8.7,21,comedy,hindi
1944,2016,106 min,6.4,0,drama,kannada
Bandhalu Anubandhalu,1982,,5.7,10,"drama, family",telugu
Godaam,2020,,6.4,0,drama,hindi
Sand - The Love Without Trust,2017,48 min,6.4,0,drama,hindi
Mandakini,2008,,6.4,0,drama,kannada
Sye,2005,127 min,6.8,53,"action, drama, romance",kannada
Maut Ki Pukar,2001,,6.4,0,horror,hindi
Anna Thamudu,1990,126 min,7.4,74,"action, drama",telugu
Ebar Shabor,2015,160 min,7.3,1356,"crime, mystery, thriller",bengali
Diana,2002,77 min,6.4,0,unknown,malayalam
Tourist Bungalow,1975,,6.4,0,unknown,malayalam
Chunauti,1996,,6.4,0,action,nepali
Dasavala,2013,,6.4,0,drama,kannada
G: A Dark Tale of Desires,2017,120 min,6.4,0,"crime, drama, mystery",hindi
Teen Dost,1964,,6.4,0,drama,hindi
